model_ID;year;ntfp_name_2;ntfp_q_2;ntfp_unit_2;ntfp_p_2
27;1;Carbon;1,04;tC/ha/year;6
27;2;Carbon;2,76;tC/ha/year;6
27;3;Carbon;4,03;tC/ha/year;6
27;4;Carbon;4,93;tC/ha/year;6
27;5;Carbon;5,54;tC/ha/year;6
27;6;Carbon;5,93;tC/ha/year;6
27;7;Carbon;6,13;tC/ha/year;6
27;8;Carbon;6,2;tC/ha/year;6
27;9;Carbon;6,16;tC/ha/year;6
27;10;Carbon;6,04;tC/ha/year;6
27;11;Carbon;5,86;tC/ha/year;6
27;12;Carbon;5,64;tC/ha/year;6
27;13;Carbon;5,39;tC/ha/year;6
27;14;Carbon;5,11;tC/ha/year;6
27;15;Carbon;4,83;tC/ha/year;6
27;16;Carbon;4,55;tC/ha/year;6
27;17;Carbon;4,27;tC/ha/year;6
27;18;Carbon;3,99;tC/ha/year;6
27;19;Carbon;3,72;tC/ha/year;6
27;20;Carbon;3,46;tC/ha/year;6
27;21;Carbon;3,22;tC/ha/year;6
27;22;Carbon;2,98;tC/ha/year;6
27;23;Carbon;2,76;tC/ha/year;6
27;24;Carbon;2,55;tC/ha/year;6
27;25;Carbon;2,35;tC/ha/year;6
27;26;Carbon;2,17;tC/ha/year;6
27;27;Carbon;2;tC/ha/year;6
27;28;Carbon;1,84;tC/ha/year;6
27;29;Carbon;1,69;tC/ha/year;6
27;30;Carbon;1,55;tC/ha/year;6
28;1;Carbon;0,82;tC/ha/year;6
28;2;Carbon;2,21;tC/ha/year;6
28;3;Carbon;3,29;tC/ha/year;6
28;4;Carbon;4,1;tC/ha/year;6
28;5;Carbon;4,7;tC/ha/year;6
28;6;Carbon;5,13;tC/ha/year;6
28;7;Carbon;5,41;tC/ha/year;6
28;8;Carbon;5,57;tC/ha/year;6
28;9;Carbon;5,64;tC/ha/year;6
28;10;Carbon;5,63;tC/ha/year;6
28;11;Carbon;5,56;tC/ha/year;6
28;12;Carbon;5,45;tC/ha/year;6
28;13;Carbon;5,3;tC/ha/year;6
28;14;Carbon;5,12;tC/ha/year;6
28;15;Carbon;4,93;tC/ha/year;6
28;16;Carbon;4,72;tC/ha/year;6
28;17;Carbon;4,51;tC/ha/year;6
28;18;Carbon;4,29;tC/ha/year;6
28;19;Carbon;4,07;tC/ha/year;6
28;20;Carbon;3,85;tC/ha/year;6
28;21;Carbon;3,63;tC/ha/year;6
28;22;Carbon;3,42;tC/ha/year;6
28;23;Carbon;3,22;tC/ha/year;6
28;24;Carbon;3,02;tC/ha/year;6
28;25;Carbon;2,84;tC/ha/year;6
28;26;Carbon;2,66;tC/ha/year;6
28;27;Carbon;2,49;tC/ha/year;6
28;28;Carbon;2,32;tC/ha/year;6
28;29;Carbon;2,17;tC/ha/year;6
28;30;Carbon;2,03;tC/ha/year;6
29;1;Carbon;0,11;tC/ha/year;6
29;2;Carbon;0,31;tC/ha/year;6
29;3;Carbon;0,49;tC/ha/year;6
29;4;Carbon;0,64;tC/ha/year;6
29;5;Carbon;0,78;tC/ha/year;6
29;6;Carbon;0,89;tC/ha/year;6
29;7;Carbon;0,98;tC/ha/year;6
29;8;Carbon;1,06;tC/ha/year;6
29;9;Carbon;1,13;tC/ha/year;6
29;10;Carbon;1,18;tC/ha/year;6
29;11;Carbon;1,22;tC/ha/year;6
29;12;Carbon;1,26;tC/ha/year;6
29;13;Carbon;1,28;tC/ha/year;6
29;14;Carbon;1,3;tC/ha/year;6
29;15;Carbon;1,31;tC/ha/year;6
29;16;Carbon;1,31;tC/ha/year;6
29;17;Carbon;1,31;tC/ha/year;6
29;18;Carbon;1,3;tC/ha/year;6
29;19;Carbon;1,29;tC/ha/year;6
29;20;Carbon;1,28;tC/ha/year;6
29;21;Carbon;1,26;tC/ha/year;6
29;22;Carbon;1,24;tC/ha/year;6
29;23;Carbon;1,22;tC/ha/year;6
29;24;Carbon;1,2;tC/ha/year;6
29;25;Carbon;1,17;tC/ha/year;6
29;26;Carbon;1,15;tC/ha/year;6
